Variables ->,cpi_18_u,cpi_10_u,egp_usd,ir_ib,cpi_us,oil,,
Comments ->,"Consumer price index for urban areas, base year January 2018","Consumer price index for urban areas, base year January 2010",Exchange rate EGP per USD,"Overnight interbank rate, percent, p.a.","CPI US,  seasonally adjusted","Brent oil price, USD per barrel",,
2007M01,,,5.7036,9.298,203.437,54.3,,
2007M02,,,5.6989,8.882,204.226,57.7585,,
2007M03,,,5.7011,8.841,205.288,62.14364,,
2007M04,,,5.6908,8.792,205.904,67.39895,,
2007M05,,,5.6899,8.761,206.755,67.47652,,
2007M06,,,5.6959,8.758,207.234,71.31714,,
2007M07,,,5.6823,8.755,207.603,77.205,,
2007M08,,,5.6564,8.754,207.667,70.79696,,
2007M09,,,5.6312,8.752,208.547,77.1285,,
2007M10,,,5.5433,8.755,209.19,82.83174,,
2007M11,,,5.5128,8.752,210.834,92.52818,,
2007M12,,,5.5321,8.753,211.445,91.4505,,
2008M01,,,5.5123,8.752,212.174,91.92091,,
2008M02,,,5.5087,8.934,212.687,94.81857,,
2008M03,,,5.4701,9.145,213.448,103.241,,
2008M04,,,5.4237,9.5,213.942,110.1886,,
2008M05,,,5.3553,9.895,215.208,123.9376,,
2008M06,,,5.3432,10.051,217.463,133.0486,,
2008M07,,,5.3137,10.5,219.016,133.8991,,
2008M08,,,5.3287,10.933,218.69,113.8505,,
2008M09,,,5.4294,11.273,218.877,99.06455,,
2008M10,,,5.5396,11.857,216.995,72.84261,,
2008M11,,,5.5276,11.713,213.153,53.2415,,
2008M12,,,5.5137,11.571,211.398,41.58091,,
2009M01,,,5.524518182,11.545,211.933,44.86,,
2009M02,,,5.568395,11.02,212.705,43.2425,,
2009M03,,,5.633622727,10.5,212.495,46.83909,,
2009M04,,,5.631786364,10.05,212.709,50.84524,,
2009M05,,,5.622661905,9.763,213.022,57.94143,,
2009M06,,,5.600836364,9.374,214.79,68.61682,,
2009M07,,,5.575452174,9.035,214.726,64.91,,
2009M08,,97.36,5.536695238,8.53,215.445,72.50476,,
2009M09,,98.97,5.512636364,8.434,215.861,67.68727,,
2009M10,,100.28,5.475131818,8.269,216.509,73.19409,,
2009M11,,100.21,5.459633333,8.273,217.234,77.03667,,
2009M12,,99.45,5.485117391,8.271454545,217.347,74.66955,,
2010M01,,100,5.449882609,8.268,217.488,76.373,,
2010M02,,100.2,5.484140741,8.271263158,217.281,74.312,,
2010M03,,100.86,5.487836667,8.267173913,217.353,79.27478,,
2010M04,,101.54,5.525153333,8.267111111,217.403,84.97857,,
2010M05,,102,5.618851613,8.27252381,217.29,76.25095,,
2010M06,,102.44,5.677026667,8.269181818,217.199,74.83818,,
2010M07,,105,5.697735484,8.266947368,217.605,74.73545,,
2010M08,,108,5.693006452,8.265043478,217.923,76.69318,,
2010M09,,109.82,5.703926667,8.25985,218.275,77.78682,,
2010M10,,111.33,5.727425806,8.261631579,219.035,82.9181,,
2010M11,,110.42,5.754546667,8.262631579,219.59,85.67,,
2010M12,,109.67,5.796403226,8.261761905,220.472,91.79652,,
2011M01,,110.79,5.815036667,8.262444444,221.187,96.29476,,
2011M02,,110.93,5.882078571,9.054923077,221.898,103.955,,
2011M03,,112.45,5.926480645,8.873434783,223.046,114.4413,,
2011M04,,113.81,5.957053333,8.840055556,224.093,123.0389,,
2011M05,,114.04,5.947251613,8.921,224.806,114.4582,,
2011M06,,114.51,5.948656667,9.008,224.806,113.7577,,
2011M07,,115.89,5.957612903,8.9039,225.395,116.461,,
2011M08,,117.16,5.959919355,8.909428571,226.106,110.0813,,
2011M09,,118.84,5.963373333,9.035,226.597,112.4468,,
2011M10,,119.24,5.970774194,8.920761905,226.75,109.469,,
2011M11,,120.43,5.984023333,9.205333333,227.169,110.5041,,
2011M12,,120.15,6.018309677,9.66855,227.223,107.909,,
2012M01,,120.32,6.034906452,9.65675,227.842,111.1562,,
2012M02,,121.12,6.034327586,9.6546,228.329,119.7024,,
2012M03,,122.6,6.034722581,9.658095238,228.807,124.9286,,
2012M04,,123.80148,6.04187,9.704157895,229.187,120.4635,,
2012M05,,123.51,6.042467742,9.686363636,228.713,110.5217,,
2012M06,,122.82,6.04814,9.751588235,228.524,95.58905,,
2012M07,,123.29,6.063603333,9.647047619,228.59,103.1409,,
2012M08,,124.732493,6.083012903,9.6292,229.918,113.34,,
2012M09,,126.24,6.094986667,9.654904762,231.015,113.3825,,
2012M10,,127.23,6.100374194,9.63255,231.638,111.9735,,
2012M11,,125.56,6.10461,9.6533,231.249,109.7118,,
2012M12,,125.75,6.161016667,9.694681818,231.221,109.631,,
2013M01,,127.87,6.558487097,9.70095,231.679,112.9736,,
2013M02,,131.06,6.724539286,9.5387,232.937,116.455,,
2013M03,,131.9,6.777151613,9.66245,232.282,109.24,,
2013M04,,133.84,6.880993103,10.05842857,231.797,102.8755,,
2013M05,,133.63,6.966122581,10.20384211,231.893,103.027,,
2013M06,,134.8,6.99886,10.10714286,232.445,103.11,,
2013M07,,135.97,7.008823333,9.910190476,232.9,107.7161,,
2013M08,,136.89,6.988893548,9.443722222,233.456,110.965,,
2013M09,,139.04,6.905437931,9.232954545,233.544,111.6214,,
2013M10,,140.52,6.8917,8.836333333,233.669,109.4791,,
2013M11,,141.85,6.888573333,8.800421053,234.1,108.0767,,
2013M12,,140.4,6.903603226,8.429391304,234.719,110.674,,
2014M01,,142.4,6.96033871,8.313684211,235.288,107.4227,,
2014M02,,143.86,6.962235714,8.31275,235.547,108.812,,
2014M03,,144.85,6.961509677,8.337954545,236.028,107.4057,,
2014M04,,145.71,6.98483,8.368315789,236.468,107.7881,,
2014M05,,144.64,7.089636667,8.384894737,236.918,109.6759,,
2014M06,,145.86,7.150156667,8.396714286,237.231,111.8686,,
2014M07,,150.98,7.150606452,8.755722222,237.498,106.983,,
2014M08,,152.63,7.150716129,9.401238095,237.46,101.9224,,
2014M09,,154.5,7.150333333,9.424409091,237.477,97.33636,,
2014M10,,157.15,7.150496774,9.421947368,237.43,87.26957,,
2014M11,,154.74,7.14988,9.401,236.983,78.438,,
2014M12,,154.62,7.151416129,9.360304348,236.252,62.33045,,
2015M01,,156.15,7.268983871,9.092333333,234.747,48.06714,,
2015M02,,159.05,7.627185714,8.84185,235.342,57.9305,,
2015M03,,161.51,7.613232258,8.872434783,235.976,55.79136,,
2015M04,,161.69,7.62903,8.87975,236.222,59.38955,,
2015M05,,163.61,7.623854839,8.93647619,237.001,64.56143,,
2015M06,,162.47,7.62831,8.950619048,237.657,62.34591,,
2015M07,,163.63,7.784029032,8.933222222,238.034,55.86565,,
2015M08,,164.66,7.811141935,8.892952381,238.033,46.99429,,
2015M09,,168.73,7.82551,8.872052632,237.498,47.23455,,
2015M10,,172.39,7.9168,8.858684211,237.733,48.12409,,
2015M11,,171.88,7.896613333,8.926454545,238.017,44.41714,,
2015M12,,171.73,7.828893548,9.079909091,237.761,37.72174,,
2016M01,,171.92,7.828793548,9.494789474,237.652,30.80333,,
2016M02,,173.58,7.828627586,9.454809524,237.336,33.1981,,
2016M03,,176.07,8.439958065,10.13730435,238.08,39.07174,,
