"Variables ->","obs_dl_cpi","obs_i","obs_l_y","l_y_gap","l_y","l_y_tnd","dl_y_tnd","dl_y","dl_cpi","e1_dl_cpi","d4l_cpi","e1_d4l_cpi","e3_d4l_cpi","target","i","r","r_gap","r_tnd","shock_l_y_gap","shock_dl_cpi","shock_i","shock_dl_y_tnd","shock_r_tnd","shock_target","ss_r_tnd","ss_dl_y_tnd","ss_target","c1_dl_cpi","c2_dl_cpi","c1_l_y_gap","c2_l_y_gap","c1_i","c2_i","c3_i","c1_dl_y_tnd","c1_r_tnd","c1_target","ttrend","std_shock_l_y_gap","std_shock_dl_cpi","std_shock_i","std_shock_dl_y_tnd","std_shock_r_tnd","std_shock_target"
"Comments ->","Inflation observations","Interest rate observations","Real GDP observations","Output gap (percent)","Output","Output trend","Output trend growth (percent, @ar)","Output growth (percent, @ar)","QoQ inflation (percent, @ar)","Exp. QoQ inflation (percent, @ar)","YoY inflation (percent)","Exp. YoY inflation (percent)","Exp. t+3 YoY inflation (percent)","Inflation Target (percent)","Nominal interest rate (percent p.a.)","Real interest rate (percent p.a.)","Real interest rate gap (pp)","Real interest rate trend (pp)","Output gap shock","Inflation shock","MP shock","Potential output growth shock","Real interest rate trend shock","Inflation target","","","","","","","","","","","","","","Time trend","","","","","",""
"Class[Size] ->","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","Series[60-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]"
"2007Q2",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.426146657285318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5,2,2.5,0.65,0.1,0.6,0.1,0.75,3.5,0.1,0.9,0.9,0.9,NaN,0.7,1.5,1,0.2,0.2,0.2
"2007Q3",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.018130466654815,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2007Q4",NaN,NaN,NaN,2.68045229307913,965.4509094959586,962.7704572028798,1.291995833499781,NaN,4.200069270462823,NaN,NaN,NaN,NaN,2.569983671466646,0.367820816030983,NaN,NaN,0.5153267961865928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2008Q1",4.309456399802457,3.17667,966.1601069749734,3.086317539216534,966.1601069180687,963.073789378852,1.213328703888646,2.836789688439008,4.309456399802454,4.673237218409842,3.238450698551353,4.050223338832481,4.657667789401817,2.565348829549205,3.176670000000122,-0.8735533388324097,-1.381331096486756,0.5077777576543315,1.339913053720704,-0.364853406363515,0.2245857128244803,-0.1494675462611574,-0.006016358913602052,0.002363525229224187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-48,NaN,NaN,NaN,NaN,NaN,NaN
"2008Q2",5.17019125564002,2.09,966.730770931016,3.375500680553185,966.7307709310161,963.3552702504629,1.125920777997924,2.282653343344848,5.170191255640021,5.581102161469639,4.174461848140002,4.815204771843724,5.55958297323467,2.567121119114325,2.089999999999999,-2.725204771843725,-3.210606952965497,0.4854021811217791,1.202649461726943,0.07810877119868147,-3.758424964428219,-0.1660750555018569,-0.02159780076711958,0.008307172520040984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-47,NaN,NaN,NaN,NaN,NaN,NaN
"2008Q3",6.120457409684604,1.94,966.2024850530005,2.586558803045965,966.2024850530005,963.6159262499547,1.04262399796635,-2.113143512061787,6.120457409684604,6.417754702409153,4.950043583897455,5.504464941884056,6.363766749414704,2.474178547257568,1.940000000000013,-3.564464941884095,-4.062356131147864,0.4978911892637756,0.155022781599576,0.2549630673707428,-3.83857108109401,-0.1707047022317817,0.0110292262541742,-0.086230459945324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-46,NaN,NaN,NaN,NaN,NaN,NaN
"2008Q4",-9.267290142872298,0.506667,963.9952057445751,0.1308837703111843,963.9952057445748,963.8643219742637,0.9935828972365044,-8.829117233701977,-9.267290142872294,-8.942506512933768,1.583203730563687,-1.729786997620351,-8.61383598341035,2.283492738417942,0.5066669999999924,2.236453997620285,1.680563385048861,0.5558906125714372,-1.252995173011201,-10.12879855667165,7.87371169959455,-0.1447787009332106,0.05778854223403918,-0.1932679541138689,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-45,NaN,NaN,NaN,NaN,NaN,NaN
"2009Q1",-2.760985373854055,0.183333,962.8226353991014,-1.292887072112715,962.8226353991015,964.1155224712143,1.004801987801504,-4.690281381893461,-2.760985373854052,-2.81959945803063,-0.1844067128504308,-2.18185439126808,-2.673656010166195,2.292544583703373,0.1833330000000054,2.365187391268032,1.834180023380961,0.5310073678870778,-1.187999331961028,4.37890173653488,3.475192458541031,-0.0894226197113496,-0.01929418342721574,-0.01259888087277371,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-44,NaN,NaN,NaN,NaN,NaN,NaN
