"Variables ->","y","cpi","i","l_y","l_cpi","dl_cpi"
"Comments ->","US GDP at market prices, chain linked 2012 prices, seasonally adjusted","CPI US,  seasonally adjusted","Fed Funds effective interest rate (% p.a.)","US GDP at market prices, chain linked 2012 prices, seasonally adjusted","CPI US,  seasonally adjusted","CPI US,  seasonally adjusted"
"Class[Size] ->","Series[93-by-1]","Series[93-by-1]","Series[93-by-1]","Series[93-by-1]","Series[93-by-1]","Series[93-by-1]"
"1999Q1",12410.778,NaN,4.73333,942.6320567611551,NaN,NaN
"1999Q2",12514.408,NaN,4.74667,943.4635899510924,NaN,NaN
"1999Q3",12679.977,NaN,5.09333,944.7779414109445,NaN,NaN
"1999Q4",12888.281,NaN,5.30667,946.4073727846932,NaN,NaN
"2000Q1",12935.252,NaN,5.67667,946.771157645587,NaN,NaN
"2000Q2",13170.749,NaN,6.27333,948.5753664798251,NaN,NaN
"2000Q3",13183.89,NaN,6.52,948.6750908667843,NaN,NaN
"2000Q4",13262.25,NaN,6.47333,949.2676932603196,NaN,NaN
"2001Q1",13219.251,NaN,5.59333,948.9429455219695,NaN,NaN
"2001Q2",13301.394,NaN,4.32667,949.5624120747524,NaN,NaN
"2001Q3",13248.142,NaN,3.49667,949.1612595166631,NaN,NaN
"2001Q4",13284.881,NaN,2.13333,949.4381900682963,NaN,NaN
"2002Q1",13394.91,NaN,1.73333,950.2630063031164,NaN,NaN
"2002Q2",13477.356,NaN,1.75,950.8766222794621,NaN,NaN
"2002Q3",13531.741,NaN,1.74,951.2793389900701,NaN,NaN
"2002Q4",13549.421,NaN,1.44333,951.4099094767561,NaN,NaN
"2003Q1",13619.434,NaN,1.25,951.9253022305498,NaN,NaN
"2003Q2",13741.107,NaN,1.24667,952.8147130216528,NaN,NaN
"2003Q3",13970.157,NaN,1.01667,954.4678690555788,NaN,NaN
"2003Q4",14131.379,NaN,0.996667,955.6153064688727,NaN,NaN
"2004Q1",14212.34,NaN,1.00333,956.1865880299732,NaN,NaN
"2004Q2",14323.017,NaN,1.01,956.9623102681346,NaN,NaN
"2004Q3",14457.832,NaN,1.43333,957.8991553628297,NaN,NaN
"2004Q4",14605.595,NaN,1.95,958.9159953464796,NaN,NaN
"2005Q1",14767.846,NaN,2.47,960.0207528735932,NaN,NaN
"2005Q2",14839.707,NaN,2.94333,960.5061772591148,NaN,NaN
"2005Q3",14956.291,NaN,3.46,961.2887292981801,NaN,NaN
"2005Q4",15041.232,NaN,3.98,961.8550509042607,NaN,NaN
"2006Q1",15244.088,NaN,4.45667,963.1947034740143,NaN,NaN
"2006Q2",15281.525,NaN,4.90667,963.4399861405379,NaN,NaN
"2006Q3",15304.517,NaN,5.24667,963.5903292567261,NaN,NaN
"2006Q4",15433.643,NaN,5.24667,964.4305015999738,NaN,NaN
"2007Q1",15478.956,204.317,5.25667,964.7236703008948,531.9672709326005,NaN
"2007Q2",15577.779,206.631,5.25,965.3600754705748,533.0934593832113,4.504753802443247
"2007Q3",15671.605,207.939,5.07333,965.9605755120938,533.7244767458718,2.524069450641946
"2007Q4",15767.146,210.4896666666667,4.49667,966.5683687041123,534.9436562447992,4.876717995709441
"2008Q1",15702.906,212.7696666666667,3.17667,966.1601069749734,536.0210203447498,4.309456399802457
"2008Q2",15792.773,215.5376666666666,2.09,966.730770931016,537.3135681586598,5.17019125564002
"2008Q3",15709.562,218.861,1.94,966.2024850530005,538.8436825110809,6.120457409684604
"2008Q4",15366.607,213.8486666666667,0.506667,963.9952057445751,536.5268599753629,-9.267290142872298
"2009Q1",15187.475,212.3776666666667,0.183333,962.8226353991014,535.8366136318994,-2.760985373854055
"2009Q2",15161.772,213.507,0.18,962.6532538909199,536.3669619016447,2.121393078981328
"2009Q3",15216.647,215.344,0.156667,963.0145304911672,537.223674949136,3.426852189965302
"2009Q4",15379.155,217.03,0.12,964.0768300067851,538.0035592832894,3.119537336613575
"2010Q1",15456.059,217.374,0.133333,964.5756373732798,538.1619372318839,0.633511794378137
"2010Q2",15605.628,217.2973333333333,0.193333,965.5386897406826,538.1266615366253,-0.1411027810345331
"2010Q3",15726.282,217.9343333333333,0.186667,966.3088604477673,538.4193794170666,1.170871521765093
"2010Q4",15807.995,219.699,0.186667,966.8271103692053,539.2258427718849,3.225853419273335
"2011Q1",15769.911,222.0436666666667,0.156667,966.5859036314018,540.2874059226717,4.246252603147241
"2011Q2",15876.839,224.5683333333334,0.09333329999999999,967.2616659571351,541.4180040972018,4.522392698120257
"2011Q3",15870.684,226.0326666666666,0.0833333,967.2228912780705,542.0679531599847,2.599796251131465
"2011Q4",16048.702,227.0473333333333,0.0733333,968.3383253013681,542.5158512631709,1.791592412745104
"2012Q1",16179.968,228.326,0.103333,969.1529212860218,543.077443229004,2.246367863332125
"2012Q2",16253.726,228.808,0.153333,969.6077453782113,543.2883223929346,0.8435166557223965
"2012Q3",16282.151,229.841,0.143333,969.7824756135876,543.7387765514336,1.801816633996168
"2012Q4",16300.035,231.3693333333333,0.16,969.8922534031813,544.4015279327763,2.651005525370692
"2013Q1",16441.485,232.2993333333334,0.143333,970.7562992997954,544.8026769920043,1.60459623691213
"2013Q2",16464.402,232.045,0.116667,970.8955874685364,544.6931318374673,-0.4381806181481807
"2013Q3",16594.743,233.3,0.0833333,971.6841237441809,545.2325179027384,2.157544261084695
"2013Q4",16712.76,234.1626666666667,0.0866667,972.3927778506837,545.6016030543361,1.47634060639075
"2014Q1",16654.247,235.621,0.0733333,972.0420537957549,546.2224581930858,2.483420554998702
"2014Q2",16868.109,236.8723333333333,0.09333329999999999,973.3180076785339,546.7521318077632,2.118694458709797
"2014Q3",17064.616,237.4783333333333,0.09,974.4762358890149,547.0076391242987,1.022029266141999
"2014Q4",17141.235,236.8883333333333,0.1,974.9242243231641,546.7588862731006,-0.9950114047924217
"2015Q1",17280.647,235.355,0.11,975.7342483786737,546.1095012575804,-2.597540062080952
"2015Q2",17380.875,236.96,0.123333,976.31257427765,546.7891350519488,2.718535177473768
"2015Q3",17437.08,237.855,0.136667,976.6354252252142,547.166124430964,1.507957516060742
"2015Q4",17462.579,237.837,0.16,976.7815527534941,547.1585565088595,-0.03027168841799721
"2016Q1",17565.465,237.6893333333333,0.36,977.3690037449436,547.0964498867602,-0.2484264883973992
"2016Q2",17618.581,239.5903333333333,0.373333,977.6709362762499,547.8930520407936,3.186408616133576
"2016Q3",17724.489,240.6073333333333,0.396667,978.270252164766,548.3166282433256,1.69430481012796
"2016Q4",17812.56,242.1346666666667,0.45,978.7659105426385,548.9494045211743,2.531105111394936
"2017Q1",17896.623,243.8386666666667,0.7,979.2367314812579,549.650680441684,2.805103682038862
"2017Q2",17996.802,244.12,0.95,979.7949354427043,549.7659907676294,0.4612413037816623
"2017Q3",18126.226,245.287,1.15333,980.511511881461,550.2428953529065,1.907618341108446
"2017Q4",18296.685,247.2383333333333,1.20333,981.4475174879331,551.0352783680071,3.169532060402162
"2018Q1",18436.262,249.2543333333333,1.44667,982.2074765065086,551.8473794180625,3.248404200221557
"2018Q2",18590.004,250.681,1.73667,983.0379295884912,552.4181214498032,2.282968126962714
"2018Q3",18679.599,251.7703333333334,1.92333,983.5187244742997,552.8517296294746,1.734432718685639
"2018Q4",18721.281,252.69,2.22,983.7416177177571,553.2163440995382,1.458457880254628
"2019Q1",18833.195,253.2926666666667,2.40333,984.3376283306703,553.454560541075,0.9528657661471698
"2019Q2",18982.528,255.283,2.39667,985.1274256129104,554.2372733702879,3.130851316851476
"2019Q3",19112.653,256.225,2.19,985.8105855437454,554.6055964717626,1.473292405898974
"2019Q4",19202.31,257.7853333333333,1.64333,986.2785863278905,555.2127197239424,2.428493008719215
"2020Q1",18951.992,258.618,1.26,984.9664323719494,555.5352069483847,1.289948897769136
"2020Q2",17258.205,256.4183333333334,0.06,975.6042961546782,554.6810225350422,-3.416737653370092
"2020Q3",18560.774,259.4376666666667,0.09333329999999999,982.8805708056869,555.8516468228534,4.682497151244661
"2020Q4",18767.778,260.879,0.09,983.9896742178796,556.405669829371,2.216092026070783
"2021Q1",19055.655,263.5246666666667,0.08,985.5119186897188,557.4146975238325,4.036110777845806
"2021Q2",19368.31,268.7603333333333,0.07000000000000001,987.1393504272538,559.3820028315108,7.869221230713265
"2021Q3",19478.893,273.1633333333334,0.09,987.7086748066381,561.0069906878784,6.499951425470499
"2021Q4",19806.29,278.4133333333334,0.08,989.3754843001723,562.9106820033751,7.614765261986577
"2022Q1",19727.918,284.6076666666667,0.12,988.9790068866695,565.1111623685987,8.801921460894391
